Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Ofsted examples of good practice in early years,https://www.gov.uk/government/collections/ofsted-examples-of-good-practice-in-early-years,,13/07/2015,Document collection,Collection,schools-colleges-childrens-services/inspections,,ofsted,,,,,,,,,,"1,704","16,436","7,471","2,913","3,903","3,812","3,627","39,866","16,436","1,704","3,322","3,812",current - no work needed,,,,200,
A year until first working parents receive doubled free childcare,https://www.gov.uk/government/news/a-year-until-first-working-parents-receive-doubled-free-childcare,,26/08/2015,News article,Press release,,,department-for-education,childcare-and-early-education,,,,,,,,,,,,"16,221","6,966","5,100","5,270","33,557","16,221","5,100","2,796","6,118",current - no work needed,,,N/A,200,
Cost of providing childcare review: call for evidence,https://www.gov.uk/government/consultations/cost-of-providing-childcare-review-call-for-evidence,,15/06/2015,Consultation,Closed consultation,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,,,,,,,"15,545","9,524","2,608",413,306,248,"28,644","15,545",248,"2,387","1,510",current - no work needed,,,N/A,200,
Department for Education – Statistics at DfE,https://www.gov.uk/government/organisations/department-for-education/about/statistics,,23/07/2015,Corporate information page,Corporate information,,,department-for-education,,,,,"7,895","11,334","8,831","8,759","7,037","6,690","7,207","6,957","8,992","13,726","15,516","11,472","114,416","15,516","6,690","9,535","8,795",not relevant to topic - remove from list,,This is corporate information about DfE. It's not really about early years. Remove from list.,N/A,200,
Early years foundation stage profile: exemplification materials,https://www.gov.uk/government/publications/eyfs-profile-exemplication-materials,,07/10/2014,Publication,Guidance,schools-colleges-childrens-services/exams-testing-assessment,,"department-for-education, standards-and-testing-agency",childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"3,971","8,217","8,532","14,007","11,970","15,476","14,044","4,846","2,094","4,718","5,257","5,338","98,470","15,476","2,094","8,206","6,778",,,STA to confirm whether this is up to date (ADC),,200,
The national curriculum,https://www.gov.uk/national-curriculum,,02/12/2014,Guide,,schools-colleges-childrens-services/curriculum-qualifications,"childcare-parenting/schools-education, education/school-life",department-for-education,,,,,"9,799","14,776","12,119","13,669","11,283","10,927","10,978","9,132","7,534","13,251","11,859","15,105","140,432","15,105","7,534","11,703","11,571",not relevant to topic - remove from list,,This is not about early years. Remove from list.,N/A,200,
Better inspection for all,https://www.gov.uk/government/consultations/better-inspection-for-all,,03/02/2015,Consultation,Consultation outcome,,,ofsted,,,,,415,"1,224","14,293","5,299","3,158","3,846","4,179",919,546,736,521,394,"35,530","14,293",394,"2,961","1,072",current - no work needed,,,,200,
Inspecting early years providers: online self evaluation form,https://www.gov.uk/government/publications/early-years-online-self-evaluation-form-sef-and-guidance-for-providers-delivering-the-early-years-foundation-stage,,24/09/2015,Publication,Form,,,ofsted,,/government/collections/ofsteds-inspection-of-early-years-providers,,,"1,690","7,680","6,537","6,500","5,399","5,028","5,830","4,813","4,617","13,833","12,009","8,411","82,347","13,833","1,690","6,862","6,165",current - no work needed,,,,200,
Early years foundation stage profile: 2016 handbook,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-handbook,,07/12/2015,Publication,Guidance,schools-colleges-childrens-services/exams-testing-assessment,,standards-and-testing-agency,,,,,"3,199","7,576","7,742","11,585","11,105","12,364","12,917","6,423","4,889","7,422","7,796","7,942","100,960","12,917","3,199","8,413","7,769",,,,,200,
Find a registered childminder,https://www.gov.uk/find-registered-childminder,,05/11/2015,Local transaction,,,"childcare-parenting/childcare, births-deaths-marriages/child-adoption",department-for-education,,,,,"4,732","11,311","9,368","9,803","8,566","9,632","10,310","11,244","10,603","12,899","11,434","10,231","120,133","12,899","4,732","10,011","10,270",current - no work needed,,,N/A,200,
The future of education inspection: understanding the changes,https://www.gov.uk/government/publications/the-future-of-education-inspection-understanding-the-changes,,15/06/2015,Publication,Guidance,,,ofsted,,/government/collections/future-of-education-inspection-launch-event-materials,,,,,,,,,"12,191","5,593","3,117","5,063","2,146","1,274","29,384","12,191","1,274","2,449","4,090",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/guidance/changes-to-education-inspection-from-september-2015,Add this document as inline attachment in guide: https://www.gov.uk/guidance/changes-to-education-inspection-from-september-2015  ,,302,https://www.gov.uk/guidance/changes-to-education-inspection-from-september-2015
Inspecting early years: handbook for inspectors,https://www.gov.uk/government/publications/inspecting-early-years-handbook-for-inspectors,,28/08/2015,Publication,Guidance,,,ofsted,,"Ofsted inspections of early years providers, Ofsted inspections of early years providers",withdrawn,,,,,,,"11,738","11,933","4,362","2,495","1,737","1,305",989,"34,559","11,933",989,"2,880","2,495",current - no work needed,,,,200,
What to do if you’re worried a child is being abused,https://www.gov.uk/government/publications/what-to-do-if-youre-worried-a-child-is-being-abused--2,,26/03/2015,Publication,Guidance,schools-colleges-childrens-services/safeguarding-children,,department-for-education,children-s-social-workers,/government/collections/departmental-advice-schools,,,,,,"2,308","11,595","7,859","6,836","5,260","4,109","7,137","6,939","7,165","59,208","11,595","2,308","4,934","6,939",current but needs work - improve now,,the title of the webpage isn't front loaded. Improve title so document performs better in search.,out for 2i,200,
Early years pupil premium: model form and letter for parents,https://www.gov.uk/government/publications/early-years-pupil-premium-model-document-and-letter-for-parents,,10/08/2015,Publication,Form,,,department-for-education,,,,,,,"10,488","4,744","2,129","1,680","1,346","1,403","1,095","1,876","1,083",937,"26,781","10,488",937,"2,232","1,542",current - no work needed,,,N/A,200,
Early years pupil premium: guide for local authorities,https://www.gov.uk/guidance/early-years-pupil-premium-guide-for-local-authorities,,27/03/2015,Detailed guidance,Detailed guide,schools-colleges-childrens-services/early-years,,department-for-education,,,,,607,"2,559","10,310","8,476","5,885","5,161","4,171","3,030","1,789","5,406","4,115","3,855","55,364","10,310",607,"4,614","4,143",current - no work needed,,We'll need to update the guide very soon. It's got lots of info on the financial year ending March 2016,N/A,200,
Speech at the Future of Education Inspection launch,https://www.gov.uk/government/speeches/speech-at-the-future-of-education-inspection-launch,,15/06/2015,Speech,Speech,,,ofsted,,/government/collections/future-of-education-inspection-launch-event-materials,,,,,,,,,"9,616","1,133",535,648,408,278,"12,618","9,616",278,"1,052",592,current - no work needed,,,,200,
Early years foundation stage profile results: 2014 to 2015,https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2014-to-2015,,13/10/2015,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-early-years-foundation-stage-profile,,,,,1,,,,,,,,"9,399","6,912","16,312","9,399",1,"1,359","6,912",current - no work needed,,,N/A,200,
Queen’s Birthday Honours 2015: education and children's services,https://www.gov.uk/government/news/queens-birthday-honours-2015-education-and-childrens-services,,12/06/2015,News article,News story,,,department-for-education,,,,,,,,,,,"8,742",487,264,261,317,255,"10,326","8,742",255,860,290,current - no work needed,,,N/A,200,
September 2015 issue of 'Early Years Inspection Update' newsletter published,https://www.gov.uk/government/news/september-2015-issue-of-early-years-inspection-update-newsletter-published,,14/09/2015,News article,News story,,,ofsted,,,,,,,,,,,,,,"8,652","3,295",374,"12,321","8,652",374,"1,027","3,295",current - no work needed,,,,302,https://www.gov.uk/government/publications/early-years-newsletter-2015
Find a nursery school place,https://www.gov.uk/find-nursery-school-place,,02/05/2012,Local transaction,,,"childcare-parenting/childcare, education/school-admissions-transport",department-for-education,,,,,"3,255","8,392","5,978","6,184","6,899","5,583","5,587","6,292","5,763","8,622","6,279","6,123","74,957","8,622","3,255","6,246","6,154",current - no work needed,,,N/A,200,
Early years outcomes,https://www.gov.uk/government/publications/early-years-outcomes,,09/09/2013,Publication,Guidance,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,,"4,394","8,291","7,304","8,270","6,734","6,683","5,737","4,419","3,785","7,888","7,710","7,226","78,441","8,291","3,785","6,537","6,980",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/eyfs-profile-exemplication-materials,This document seems quite old. We haven't updated it since 2013 even though the EYFS has changed a couple of times. I think it might be duplicating the EYFS exemplification materials.,Yes,302,https://www.gov.uk/government/publications/eyfs-profile-exemplication-materials
Early years foundation stage profile: handbook 2014,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-handbook-2014,,07/10/2014,Publication,Guidance,schools-colleges-childrens-services/early-years,,"department-for-education, standards-and-testing-agency",,"Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years foundation stage, Early years and childcare guidance, Early years and childcare guidance, Early years and childcare guidance, Early years and childcare guidance, Early years and childcare: guidance and advice, Early learning and childcare: guidance for early years providers, Early years and childcare: guidance and advice, Early learning and childcare: guidance for providers, Early learning and childcare: guidance for providers, Early learning and childcare: guidance for providers, Early learning and childcare: guidance for providers, Early learning and childcare: guidance for providers",withdrawn,,"5,590","7,918","5,385","7,427","7,595","7,146","7,359","2,966","1,487","2,939","2,796","2,611","61,219","7,918","1,487","5,102","5,488",out of date - redirect to current version,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-handbook,"STA will need to agree with this recommendation, but I suggest redirecting to the latest version of the document to avoid the risk of people using outdated guidace. (ADC)",,200,
Inspecting early years providers: framework,https://www.gov.uk/government/publications/framework-for-the-regulation-of-provision-on-the-early-years-register,,28/08/2015,Publication,Guidance,,,ofsted,,"Ofsted's inspection of early years providers, Ofsted's inspection of early years providers, Ofsted inspection of early years providers, Ofsted inspection of early years providers, Ofsted inspections of early years providers, Early years and childcare inspections: resources for inspectors and other organisations, Ofsted inspections of early years providers, Ofsted inspections of early years providers",withdrawn,,972,"3,925","3,451","7,858","3,465","3,578","5,335","3,753","2,866","2,120","1,363","1,124","39,810","7,858",972,"3,318","3,458",current - no work needed,,,,200,
Prime Minister announces landmark wave of free schools,https://www.gov.uk/government/news/prime-minister-announces-landmark-wave-of-free-schools,,18/03/2015,News article,Press release,,,department-for-education,academies-and-free-schools,,,,,,,"7,785",676,712,428,373,306,767,417,324,"11,788","7,785",306,982,428,current - no work needed,,,N/A,200,
2-year-old early education entitlement: local authority guide,https://www.gov.uk/guidance/2-year-old-early-education-entitlement-local-authority-guide,,13/05/2015,Detailed guidance,Detailed guide,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,,681,911,"1,019",902,"2,105","1,614","1,441","2,243","7,605","6,225","5,757","30,503","7,605",681,"2,542","1,614",current - no work needed,,We'll need to update the guide very soon. It's got lots of info on the financial year ending March 2016,N/A,200,
Types of childcare that donâ€™t need to register with Ofsted,https://www.gov.uk/government/publications/factsheet-childcare-registration-not-required,,09/12/2015,Publication,Guidance,,,ofsted,,/government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations,,,"1,101","4,106","3,691","4,091","3,328","3,832","7,570","5,632","4,479","5,558","6,858","4,619","54,865","7,570","1,101","4,572","4,292",out of date - redirect to current version,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england,Now amalgamated into handbook.,,302,https://www.gov.uk/government/publications/become-a-registered-early-years-or-childcare-provider-in-england
2016 assessment and reporting arrangements: PDF format versions,https://www.gov.uk/government/publications/2016-assessment-and-reporting-arrangements-pdf-format-versions,,12/10/2015,Publication,Statutory guidance,,,standards-and-testing-agency,,/government/collections/national-curriculum-assessments-guidance-for-local-authorities,,,,,,,,,,,,,"7,372","7,345","14,717","7,372","7,345","1,226","7,358",,,,,200,
Finding your way around Ofsted content on GOV.UK,https://www.gov.uk/government/news/finding-your-way-around-ofsted-content-on-govuk,,27/01/2015,News article,News story,,,ofsted,,,,,,"2,495","7,329",853,90,71,54,60,31,47,37,49,"11,116","7,329",31,926,60,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/organisations/ofsted,Low traffic - look at archiving.,,200,
Teaching and play in the early years: a balancing act?,https://www.gov.uk/government/publications/teaching-and-play-in-the-early-years-a-balancing-act,,13/07/2015,Publication,Research and analysis,,,ofsted,,"/government/collections/ofsteds-early-years-report-2015, /government/collections/ofsted-early-years-survey-reports",,,,,,,,,,"7,198","3,360","5,448","5,392","2,998","24,396","7,198","2,998","2,033","5,392",current - no work needed,,,,200,
Paediatric first aid: EYFS statutory framework amendments,https://www.gov.uk/government/consultations/paediatric-first-aid-eyfs-statutory-framework-amendments,,15/10/2015,Consultation,Open consultation,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,,,,,,,,,,,"7,154","2,841","9,995","7,154","2,841",833,"4,998",current - no work needed,,,N/A,200,
Ofsted early years report 2015,https://www.gov.uk/government/publications/ofsted-early-years-report-2015,,13/07/2015,Publication,Corporate report,,,ofsted,,"/government/collections/ofsted-annual-reports, /government/collections/ofsteds-early-years-report-2015",,,,,,,,,,"7,151","2,698","3,308","2,554","2,195","17,906","7,151","2,195","1,492","2,698",current - no work needed,,,,200,
Childcare and early education,https://www.gov.uk/government/policies/childcare-and-early-education,,14/05/2015,Policy,,,,"department-for-education, hm-treasury",,,,,,,,,,"6,412","7,029","5,652","3,758","5,193","6,325","5,121","39,490","7,029","3,758","3,291","5,652",current - no work needed,,,N/A,200,
Early learning and childcare: guidance for providers,https://www.gov.uk/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,,08/09/2014,Document collection,Collection,schools-colleges-childrens-services/early-years,,department-for-education,childcare-and-early-education,,,,"2,301","6,984","6,019","6,725","5,863","6,263","4,890","3,998","3,134","5,047","5,417","5,144","61,785","6,984","2,301","5,149","5,280",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/topic/schools-colleges-childrens-services/early-years,"The 'early years' subtopic page is now the page that brings together all early years guidance for the workforce, but we can't redirect it because we can't add the manual to the subtopic. ",Yes,302,https://www.gov.uk/topic/schools-colleges-childrens-services/early-years
Early years inspection changes from September 2015: Ofsted letter to providers,https://www.gov.uk/government/publications/early-years-inspection-changes-from-september-2015-ofsted-letter-to-providers,,18/08/2015,Publication,Correspondence,,,ofsted,,,,,,,,,,,,,"6,972","3,075",375,193,"10,615","6,972",193,885,"1,725",current - no work needed,,,,200,
Number of 2-year-olds eligible for free childcare to double,https://www.gov.uk/government/news/number-of-2-year-olds-eligible-for-free-childcare-to-double,,26/08/2014,News article,Press release,,,"department-for-education, deputy-prime-ministers-office",childcare-and-early-education,,,,"2,039","4,351","4,933","4,849","4,619","4,971","4,232","3,918","4,444","6,527","4,195","3,847","52,925","6,527","2,039","4,410","4,398",current - no work needed,,,N/A,200,
Ofsted inspections of early years providers,https://www.gov.uk/government/collections/ofsteds-inspection-of-early-years-providers,,12/12/2014,Document collection,Collection,schools-colleges-childrens-services/inspections,,ofsted,,,,,"1,064","3,815","4,382","5,110","3,763","4,118","4,769","3,851","3,248","6,454","4,919","4,081","49,574","6,454","1,064","4,131","4,100",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations,Rename as 'Ofsted inspections of early years and childcare providers' and incorporate content from 51. Also needs a bit more structure via headings. ,,200,
Future of education inspection: regional launch events,https://www.gov.uk/government/news/future-of-education-inspection-regional-launch-events,,19/03/2015,News article,News story,,,ofsted,,,,,,,,"6,269","4,046","2,451","2,470",492,86,137,74,62,"16,087","6,269",62,"1,341",492,current - no work needed,,,,200,
Early years compliance: guidance for Ofsted staff,https://www.gov.uk/government/publications/compliance-investigation-and-enforcement-handbook-childcare,,08/09/2015,Publication,Guidance,,,ofsted,,"/government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations, /government/collections/ofsteds-compliance-investigation-and-enforcement-handbooks",,,577,"3,622","2,775","1,886",957,"1,067","2,890","1,425",833,"6,258","2,615","1,367","26,272","6,258",577,"2,189","1,656",current but needs work - improve now,,"Title needs to be changed as guidance is also used by stakeholders, not just staff.",,302,https://www.gov.uk/government/publications/early-years-provider-non-compliance-action-by-ofsted
Being inspected as a childminder or childcare provider,https://www.gov.uk/ofsted-inspection-childcare-provider,,27/11/2014,Answer,,,business/setting-up,"department-for-education, ofsted",,,,,"1,582","6,136","5,141","5,864","4,584","4,921","4,969","4,471","3,740","5,269","5,058","4,768","56,503","6,136","1,582","4,709","4,945",current - no work needed,,,N/A,#ERROR!,#ERROR!
Early years foundation stage: assessment and reporting arrangements (ARA),https://www.gov.uk/government/publications/early-years-foundation-stage-assessment-and-reporting-arrangements-ara,,05/09/2014,Publication,Statutory guidance,schools-colleges-childrens-services/exams-testing-assessment,,"department-for-education, standards-and-testing-agency",,,,,"1,704","4,178","3,932","5,985","4,711","5,287","6,089","2,531","1,286","3,081","2,811","2,592","44,187","6,089","1,286","3,682","3,506",out of date - redirect to current version,https://www.gov.uk/guidance/2016-early-years-foundation-stage-assessment-and-reporting-arrangements-ara,"STA will need to agree with this recommendation, but I suggest redirecting to the latest version of the document to avoid the risk of people using outdated guidace. (ADC)",,200,
Schools: departmental advice,https://www.gov.uk/government/collections/departmental-advice-schools,,23/07/2015,Document collection,Collection,,,department-for-education,,,,,"1,147","5,937","4,931","5,566","4,540","4,929","5,630","4,337","2,857","5,690","5,404","5,576","56,544","5,937","1,147","4,712","5,168",current - no work needed,,,N/A,200,
Pay your registration and annual fee to Ofsted,https://www.gov.uk/pay-ofsted-registration-annual-fee,,01/12/2014,Transaction,,schools-colleges-childrens-services/early-years,business/setting-up,"department-for-education, ofsted",,,,,"1,447","5,595","4,768","4,921","4,221","4,288","4,520","4,253","3,688","4,322","3,955","3,595","49,573","5,595","1,447","4,131","4,270",current - no work needed,,,N/A,200,
Disclosure and Barring Service (DBS) checks: childcare providers,https://www.gov.uk/government/publications/disclosure-and-barring-service-dbs-checks-for-childcare-providers-who-register-with-ofsted,,22/09/2014,Publication,Guidance,,,"ofsted, disclosure-and-barring-service",,,,,"1,545","5,512","3,958","4,247","3,028","3,226","3,953","3,170","2,003","3,113","2,685","3,765","40,205","5,512","1,545","3,350","3,198",current but needs work - improve next version,,Policy team currently updating,,200,
Inspecting early years providers: evaluation schedule,https://www.gov.uk/government/publications/evaluation-schedule-for-inspections-of-registered-early-years-provision,,22/06/2015,Publication,Guidance,,,ofsted,,"Ofsted's inspection of early years providers, Ofsted's inspection of early years providers, Ofsted inspection of early years providers, Ofsted inspection of early years providers, Ofsted inspections of early years providers, Early years and childcare inspections: resources for inspectors and other organisations, Early years and childcare inspections: resources for inspectors and other organisations",withdrawn,,"1,037","5,484","4,709","5,113","3,609","3,895","2,864","1,887","1,496","1,363","1,115","1,016","33,588","5,484","1,016","2,799","2,376",current - no work needed,,,,200,
Views sought on inspecting special educational needs provision,https://www.gov.uk/government/news/views-sought-on-inspecting-special-educational-needs-provision,,12/10/2015,News article,Press release,,,ofsted,special-educational-needs-and-disability-send,,,,,,,,,,,,,,"5,240","1,309","6,549","5,240","1,309",546,"3,274",current - no work needed,,,,200,
Ofsted's early years report 2015,https://www.gov.uk/government/collections/ofsteds-early-years-report-2015,,13/07/2015,Document collection,Collection,,,ofsted,,,,,,,,,,,,"5,203","2,658",992,891,684,"10,428","5,203",684,869,992,current - no work needed,,,,Error,
Applying to waive disqualification: early years and childcare providers,https://www.gov.uk/government/publications/applying-to-waive-disqualification-early-years-and-childcare-providers,,10/06/2015,Publication,Form,,,ofsted,,,,,820,"5,194","3,774","2,016",804,605,"2,608",797,480,797,633,634,"19,162","5,194",480,"1,597",800,current - no work needed,,,,200,
Future of education inspection launch events: presentation slides,https://www.gov.uk/government/publications/future-of-education-inspection-launch-events-presentation-slides,,23/07/2015,Publication,Guidance,,,ofsted,,/government/collections/future-of-education-inspection-launch-event-materials,,,,,,,,,"5,108","3,771","1,336","1,676",761,381,"13,033","5,108",381,"1,086","1,506",duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/guidance/changes-to-education-inspection-from-september-2015,Add to detailed guide as inline attachments ,,302,https://www.gov.uk/guidance/changes-to-education-inspection-from-september-2015
Early years and childcare inspections and outcomes September 2014 to December 2014,https://www.gov.uk/government/statistics/early-years-and-childcare-inspections-and-outcomes-september-2014-to-december-2014,,26/03/2015,Publication,Official Statistics,,,ofsted,,/government/collections/early-years-and-childcare-statistics,,,,,,"2,109","4,881","1,919",263,169,66,72,76,77,"9,632","4,881",66,803,169,current - no work needed,,,,200,
Nicky Morgan discusses the future of education in England,https://www.gov.uk/government/speeches/nicky-morgan-discusses-the-future-of-education-in-england,,18/06/2015,Speech,Speech,,,department-for-education,,,,,,,,,,,"4,851",636,209,194,289,332,"6,511","4,851",194,543,310,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
